2023-12-05 22:11:21,561 INFO    StreamThr :453170 [internal.py:wandb_internal():86] W&B internal server running at pid: 453170, started at: 2023-12-05 22:11:21.561259
2023-12-05 22:11:21,563 DEBUG   HandlerThread:453170 [handler.py:handle_request():146] handle_request: status
2023-12-05 22:11:21,564 INFO    WriterThread:453170 [datastore.py:open_for_write():85] open: /home/neeraj/Sources/cd0581-MLops/lesson-1-machine-learning-pipelines/exercises/exercise_2/solution/wandb/run-20231205_221121-wqlovfjw/run-wqlovfjw.wandb
2023-12-05 22:11:21,565 DEBUG   SenderThread:453170 [sender.py:send():382] send: header
2023-12-05 22:11:21,568 DEBUG   SenderThread:453170 [sender.py:send():382] send: run
2023-12-05 22:11:21,949 INFO    SenderThread:453170 [dir_watcher.py:__init__():211] watching files in: /home/neeraj/Sources/cd0581-MLops/lesson-1-machine-learning-pipelines/exercises/exercise_2/solution/wandb/run-20231205_221121-wqlovfjw/files
2023-12-05 22:11:21,949 INFO    SenderThread:453170 [sender.py:_start_run_threads():1136] run started: wqlovfjw with start time 1701814281.561048
2023-12-05 22:11:21,953 DEBUG   HandlerThread:453170 [handler.py:handle_request():146] handle_request: check_version
2023-12-05 22:11:21,953 DEBUG   SenderThread:453170 [sender.py:send_request():409] send_request: check_version
2023-12-05 22:11:22,018 DEBUG   HandlerThread:453170 [handler.py:handle_request():146] handle_request: run_start
2023-12-05 22:11:22,044 DEBUG   HandlerThread:453170 [system_info.py:__init__():32] System info init
2023-12-05 22:11:22,044 DEBUG   HandlerThread:453170 [system_info.py:__init__():47] System info init done
2023-12-05 22:11:22,044 INFO    HandlerThread:453170 [system_monitor.py:start():194] Starting system monitor
2023-12-05 22:11:22,044 INFO    SystemMonitor:453170 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-12-05 22:11:22,044 INFO    HandlerThread:453170 [system_monitor.py:probe():214] Collecting system info
2023-12-05 22:11:22,045 INFO    SystemMonitor:453170 [interfaces.py:start():190] Started cpu monitoring
2023-12-05 22:11:22,045 INFO    SystemMonitor:453170 [interfaces.py:start():190] Started disk monitoring
2023-12-05 22:11:22,046 INFO    SystemMonitor:453170 [interfaces.py:start():190] Started gpu monitoring
2023-12-05 22:11:22,046 INFO    SystemMonitor:453170 [interfaces.py:start():190] Started memory monitoring
2023-12-05 22:11:22,047 INFO    SystemMonitor:453170 [interfaces.py:start():190] Started network monitoring
2023-12-05 22:11:22,087 DEBUG   HandlerThread:453170 [system_info.py:probe():196] Probing system
2023-12-05 22:11:22,092 DEBUG   HandlerThread:453170 [system_info.py:_probe_git():181] Probing git
2023-12-05 22:11:22,102 DEBUG   HandlerThread:453170 [system_info.py:_probe_git():189] Probing git done
2023-12-05 22:11:22,102 DEBUG   HandlerThread:453170 [system_info.py:probe():244] Probing system done
